arch,mode,runs,catches_mean,catches_median,catches_std,catches_ci95,catch_rate_per_minute_mean,catch_rate_per_minute_median,catch_rate_per_minute_std,catch_rate_per_minute_ci95,capture_success_mean,capture_success_median,capture_success_std,capture_success_ci95,time_to_first_catch_s_mean,time_to_first_catch_s_median,time_to_first_catch_s_std,time_to_first_catch_s_ci95,time_to_competence_s_mean,time_to_competence_s_median,time_to_competence_s_std,time_to_competence_s_ci95,learning_auc_mean,learning_auc_median,learning_auc_std,learning_auc_ci95,flies_per_energy_spent_mean,flies_per_energy_spent_median,flies_per_energy_spent_std,flies_per_energy_spent_ci95,net_energy_balance_per_catch_mean,net_energy_balance_per_catch_median,net_energy_balance_per_catch_std,net_energy_balance_per_catch_ci95,movement_efficiency_px_per_catch_mean,movement_efficiency_px_per_catch_median,movement_efficiency_px_per_catch_std,movement_efficiency_px_per_catch_ci95,visible_but_ignored_ratio_mean,visible_but_ignored_ratio_median,visible_but_ignored_ratio_std,visible_but_ignored_ratio_ci95,avg_acceleration_px_s2_mean,avg_acceleration_px_s2_median,avg_acceleration_px_s2_std,avg_acceleration_px_s2_ci95,avg_jerk_px_s3_mean,avg_jerk_px_s3_median,avg_jerk_px_s3_std,avg_jerk_px_s3_ci95,tongue_usage_ratio_mean,tongue_usage_ratio_median,tongue_usage_ratio_std,tongue_usage_ratio_ci95,reaction_latency_mean_s_mean,reaction_latency_mean_s_median,reaction_latency_mean_s_std,reaction_latency_mean_s_ci95,ttc_mean_s_mean,ttc_mean_s_median,ttc_mean_s_std,ttc_mean_s_ci95,compute_per_catch_s_mean,compute_per_catch_s_median,compute_per_catch_s_std,compute_per_catch_s_ci95,catch_rate_low_energy_mean,catch_rate_low_energy_median,catch_rate_low_energy_std,catch_rate_low_energy_ci95,catch_rate_mid_energy_mean,catch_rate_mid_energy_median,catch_rate_mid_energy_std,catch_rate_mid_energy_ci95,catch_rate_high_energy_mean,catch_rate_high_energy_median,catch_rate_high_energy_std,catch_rate_high_energy_ci95,strike_rate_low_energy_mean,strike_rate_low_energy_median,strike_rate_low_energy_std,strike_rate_low_energy_ci95,strike_rate_mid_energy_mean,strike_rate_mid_energy_median,strike_rate_mid_energy_std,strike_rate_mid_energy_ci95,strike_rate_high_energy_mean,strike_rate_high_energy_median,strike_rate_high_energy_std,strike_rate_high_energy_ci95,wall_clock_s_mean,wall_clock_s_median,wall_clock_s_std,wall_clock_s_ci95,adult_time_s_mean,adult_time_s_median,adult_time_s_std,adult_time_s_ci95,avg_spike_rate_mean,avg_spike_rate_median,avg_spike_rate_std,avg_spike_rate_ci95,avg_spike_count_mean,avg_spike_count_median,avg_spike_count_std,avg_spike_count_ci95,spikes_per_catch_mean,spikes_per_catch_median,spikes_per_catch_std,spikes_per_catch_ci95,avg_food_prediction_error_mean,avg_food_prediction_error_median,avg_food_prediction_error_std,avg_food_prediction_error_ci95,avg_hunger_bias_mean,avg_hunger_bias_median,avg_hunger_bias_std,avg_hunger_bias_ci95,avg_reward_seek_bias_mean,avg_reward_seek_bias_median,avg_reward_seek_bias_std,avg_reward_seek_bias_ci95,avg_predation_bias_mean,avg_predation_bias_median,avg_predation_bias_std,avg_predation_bias_ci95,avg_prey_permission_mean,avg_prey_permission_median,avg_prey_permission_std,avg_prey_permission_ci95,avg_fast_target_lock_mean,avg_fast_target_lock_median,avg_fast_target_lock_std,avg_fast_target_lock_ci95,avg_fast_loop_gate_mean,avg_fast_loop_gate_median,avg_fast_loop_gate_std,avg_fast_loop_gate_ci95,avg_fast_strike_drive_mean,avg_fast_strike_drive_median,avg_fast_strike_drive_std,avg_fast_strike_drive_ci95,avg_maturity_readiness_mean,avg_maturity_readiness_median,avg_maturity_readiness_std,avg_maturity_readiness_ci95,avg_maturity_stability_mean,avg_maturity_stability_median,avg_maturity_stability_std,avg_maturity_stability_ci95,study_key,study_label,study_family,study_role,arch_label_ru,arch_short_label,arch_folder_name,arch_family,arch_branch,chronology_group,chronology_order,homeostatic_catch_delta,homeostatic_strike_delta,homeostatic_catch_delta_mean,homeostatic_catch_delta_std,homeostatic_strike_delta_mean,homeostatic_strike_delta_std,avg_task_set_bias_mean,avg_task_set_bias_median,avg_task_set_bias_std,avg_task_set_bias_ci95
ANN,adult,50,108.38,102.0,32.05426024727446,8.884987636412331,6.5028,6.119999999999999,1.9232556148364677,0.5330992581847398,1.0,1.0,0.0,0.0,0.22519999999999998,0.14,0.18331655680816175,0.05081275712574549,19.409200000000002,6.295,23.53625516856919,6.5239170883054225,11.626481842308838,11.517201199674894,2.695400484993468,0.747126896693337,0.19546982803690502,0.19680231108343327,0.00442250796232812,0.001225856665045376,-0.1185912776652033,-0.08124127885516744,0.11992010926893315,0.033240158406160195,9.073998413054476,8.778253696054946,2.913775238820668,0.8076572902476301,3.951175136919749e-05,0.0,9.854935886351248e-05,2.7316488614118696e-05,9.1387116474967,9.206417545141344,0.5868262493918189,0.16265993756670352,1400.7967686043821,1410.7169270701788,84.30840781893296,23.36909837688491,1.0,1.0,0.0,0.0,0.15825362383395633,0.15593896713615024,0.012403026719149422,0.0034379436057366086,0.7689267185970151,0.7618007662835249,0.05294023277848064,0.014674283857341134,0.1638359368031672,0.15688266306913906,0.04860637970747189,0.013473001074431975,4.511307298271425,2.3891691000795867,5.8577929573451994,2.0620977196960273,1.439409659526322,1.4332080105778682,0.41682102650547315,0.11553689395819783,9.454662449937238,9.477885627974642,2.265137377815117,0.6278640480674961,4.485313692698396,2.211573903427822,5.868804348536076,2.065974020007549,1.4423927305979918,1.4332080105778682,0.41558038074320364,0.11519300449782978,9.401491593897553,9.410394200026644,2.2517561623772226,0.624154964382248,16.347581648000343,16.17760170000838,1.4587875532583394,0.4043552799180454,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,-4.943355151665814,6.280492470459476,-4.916177901199157,6.285958184413873,,,,
ANN,developmental,50,125.8,118.5,34.624268945351034,9.597357703034726,7.547999999999999,7.109999999999999,2.0774561367210618,0.5758414621820835,0.9995960964580957,1.0,0.001669187097091623,0.0004626750580456493,0.2938,0.17,0.271343988324783,0.07521271627803372,23.3386,8.05,26.90358667612926,7.457293762156971,12.50342935573233,11.897444383444633,3.8616563574864076,1.0703965316203863,0.1968411550731232,0.19779133267726967,0.002946502559203073,0.0008167288406352358,-0.08140005886824903,-0.05583468537992174,0.0776156912978643,0.021513972004135008,6.703807469816094,6.465990919875568,1.8923259072884202,0.5245259806533822,9.721065629688533e-05,8.04378051992472e-05,0.0001064894160640437,2.9517360183604536e-05,20.50744145237129,20.510303870446002,1.0581660208766095,0.29330865664135025,3148.4998099145096,3150.576397110268,152.72389602285585,42.3329041905803,1.0,1.0,0.0,0.0,0.15193829562839342,0.15050087446560434,0.012189980257270534,0.003378890139358883,0.9027514991997825,0.8952779897005532,0.06489030722738556,0.017986675499315007,0.13980971866241063,0.13631488992727586,0.03831056320688702,0.010619146341588937,18.218954560077616,1.8315018315014708,63.166658510888404,23.826601032779447,1.8367652828060015,1.5402135123920568,2.209830012607576,0.6125336285762734,10.606975103481334,9.613164433558836,3.076916713516044,0.8528777999231807,18.218954560077616,1.8315018315014708,63.166658510888404,23.826601032779447,1.830244621896008,1.5402135123920568,2.2121385247420067,0.6131735154934786,10.606836106452718,9.613164433558836,3.085124112811407,0.8551527749406621,16.359779816001247,16.353674099998898,0.6259212317909013,0.17349651381528935,0.01,0.01,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,7.611979456596282,63.24155409138128,7.612118453624898,63.24195394058157,,,,
ANN_FROZEN,adult,50,67.68,49.0,45.63176086893864,12.648478798780507,4.0607999999999995,2.9399999999999995,2.7379056521363183,0.7589087279268304,1.0,1.0,0.0,0.0,0.228,0.14,0.18058792872171717,0.05005642000782716,13.466600000000001,6.0,23.926444166235818,6.632071960493649,9.887736645065736,8.439110708951763,4.700896428021269,1.3030220108285075,0.1840748616831511,0.18606670746332055,0.013494955988173433,0.003740610957292165,-0.4656116247446234,-0.3744615232625167,0.45491405324316475,0.12609574226687756,4.153548836335321,3.6767272373173396,2.6014213498301704,0.7210772094578431,0.0,0.0,0.0,0.0,12.483307779309476,12.501809650050244,0.09910048150431268,0.027469252016296197,1924.78494791675,1928.141225744408,17.46555377941258,4.84120451372358,1.0,1.0,0.0,0.0,0.15161081594498577,0.14651086956521742,0.021214329623220955,0.005880312163283227,0.8555848770946918,0.788543956043956,0.1858435194756234,0.051513195441428704,0.28387457726851734,0.25629344596217407,0.19747352051813732,0.05473686726155704,0.996611013309935,0.5175090564086342,1.5366064989822414,0.45928737674681835,0.7543124371546945,0.673956868888194,0.902557024004677,0.2501760432958526,9.380186977608801,8.354536462608934,4.4716061245262155,1.2394659812715314,0.996611013309935,0.5175090564086342,1.5366064989822414,0.45928737674681835,0.7543124371546945,0.673956868888194,0.902557024004677,0.2501760432958526,9.32850092282811,8.31286830592079,4.451572188527576,1.2339128575281215,12.597967545999273,12.008695299991814,1.4305095132362744,0.39651700712560484,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN frozen (frog_lib_ann_frozen),ANN frozen,frog_lib_ann_frozen,ANN,baseline_frozen,baseline,11,,,-8.383575964298867,4.7282576987316185,-8.331889909518177,4.709315712753463,,,,
ANN_FROZEN,developmental,50,92.08,76.0,60.02527467658936,16.638157276429382,5.524799999999999,4.56,3.6015164805953614,0.9982894365857629,0.99953247302729,1.0,0.0025454820197094033,0.0007055716182297795,0.3118,0.17,0.3092551697223508,0.085721159630047,21.9714,7.779999999999999,43.48176404011227,12.052530082600967,11.197218942911041,11.064356705240765,5.0256102565226515,1.3930280920592297,0.1887766692402481,0.19376281141639057,0.011673247912671937,0.0032356592409486387,-0.3189792842787112,-0.16095078403952678,0.35199243726537555,0.09756732581215717,5.776129856026589,4.66801965332443,3.6514390780947923,1.0121272746184702,7.243392648025186e-06,0.0,3.072717544808638e-05,8.517138497411864e-06,26.92084275486349,27.00439626996055,0.4915152368570918,0.1362410727589594,4163.187988795117,4173.386864532351,77.47128300167329,21.473944066620472,1.0,1.0,0.0,0.0,0.1352372675614308,0.13418511066398392,0.012349655476032511,0.0034231498519087062,0.9773327139753638,0.9292221852098601,0.17778705130356814,0.04928005639689415,0.20655476719806562,0.1591139520981892,0.13464055722832313,0.037320458407242026,0.8843905839995544,0.6735321512035716,0.9672875258199433,0.285815199253204,0.9876468470406898,0.899803915159249,1.345729656305742,0.37301722972211176,11.743717559583564,11.116097416718917,4.815025146201577,1.33465687752545,0.8843905839995544,0.6735321512035716,0.9672875258199433,0.285815199253204,0.9876468470406898,0.899803915159249,1.345729656305742,0.37301722972211176,11.732917397391404,11.116097416718917,4.820983477992967,1.3363084428366365,12.811321516000026,12.879151300003286,0.5706886661240308,0.1581868276989422,0.01,0.01,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN frozen (frog_lib_ann_frozen),ANN frozen,frog_lib_ann_frozen,ANN,baseline_frozen,baseline,11,,,-10.85932697558401,4.9112230977792475,-10.84852681339185,4.917064861549829,,,,
SNN,adult,50,14.1,12.0,7.854298186343577,2.1771003835376996,0.846,0.72,0.47125789118061456,0.13062602301226198,1.0,1.0,0.0,0.0,0.2386,0.15,0.18424993894164524,0.05107147745346711,224.76911764705883,137.925,273.6189269271241,91.97350731897805,2.8088633611359053,2.9058443771958817,1.143241852992055,0.31689047418048677,0.13328997040579443,0.13333333333333333,0.027851994770685524,0.007720179073794206,-2.904162001371589,-2.5,1.9972629349838198,0.5536130407347254,45.98742444779918,28.924904112674746,45.711841770490246,12.67067609220453,0.010121368472742264,0.008264806196097613,0.008684833026281437,0.0024073128959317437,3.495135342287299,3.5294285318009795,0.8060122418234746,0.22341519498979812,614.9697344776421,615.5620130317116,143.2322239033696,39.701946908149,1.0,1.0,0.0,0.0,0.1323011934939845,0.12886274509803922,0.03332531088123222,0.009237304897233505,0.8077440847459034,0.7754166666666666,0.22713069893600088,0.06295741771384826,2.2959806912143867,1.9263229660838506,1.4731610189950721,0.40833940135395114,0.16553313561962885,0.08358676067421068,0.2658081768410718,0.0736782676209487,0.3582132384360811,0.35679115860605587,0.2811604184961505,0.07793369189979123,4.572600405122845,4.1508148540609024,1.8067616043208539,0.5008087659018825,0.16553313561962885,0.08358676067421068,0.2658081768410718,0.0736782676209487,0.35617526418248785,0.35679115860605587,0.2789398069771134,0.07731816979010234,4.450080455756308,4.123786218085373,1.703420284217886,0.47216401339902386,23.256012460000058,22.98031459999038,1.887508878824441,0.5231907684844992,0.0,0.0,0.0,0.0,0.03088121875,0.03057169034090909,0.007010270666423029,0.0019431478910628974,10.870189,10.761235,2.467615274580906,0.68398805765414,111948.64176557446,81936.3346153846,89121.6385469694,24703.257867071243,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,SNN (frog_lib_snn),SNN,frog_lib_snn,SNN,baseline,baseline,20,,,-4.407067269503216,1.826209594138537,-4.284547320136679,1.724034411362058,,,,
SNN,developmental,50,13.4,11.5,7.994998436522674,2.216100503136083,0.8039999999999999,0.69,0.4796999061913604,0.13296603018816494,1.0,1.0,0.0,0.0,0.295,0.19,0.2529209362626985,0.07010610678107863,235.01483870967743,122.25,247.71240931410722,87.20130569765503,2.5866352589320227,2.4673029982110064,1.1291036336759843,0.31297155972558666,0.12910444046228878,0.13137254901960785,0.029227847709809837,0.008101546051516941,-3.245335576247021,-2.6136363636363633,2.325379070560093,0.6445621933719466,49.627438373420524,28.78734392216036,61.10482976262622,16.93739467945381,0.013766447377219245,0.005997246928968883,0.01853547820007518,0.0051377724325009635,3.3781742382763276,3.358394311491521,1.0366869632055336,0.2873549656069261,594.8042059709721,589.4916820667343,185.25944120049172,51.35129720346568,1.0,1.0,0.0,0.0,0.12253450441003821,0.12430555555555556,0.03724269251754965,0.0103231476880915,1.4818013794059754,0.986078947368421,2.5878080147972793,0.7173037855034451,2.818480314421718,2.176381295833077,2.166840986877649,0.6006176785850614,0.1326476828936663,0.07689325270008296,0.1670392734913645,0.046300924380005506,0.33951556019206286,0.2927390771473644,0.3264195604763448,0.09047888601210424,4.338306302709499,3.7943094537296638,1.9839920749062712,0.5499345459947445,0.1326476828936663,0.07689325270008296,0.1670392734913645,0.046300924380005506,0.33951556019206286,0.2927390771473644,0.3264195604763448,0.09047888601210424,4.302882241412102,3.7943094537296638,1.9524882802687873,0.5412021396408053,25.36403772000078,26.07288089999929,2.4380639940789393,0.6757968606065509,101.83863636363635,39.125,145.71817451678473,43.05696907341352,0.030002267613636363,0.029554346590909088,0.008164759480934584,0.0022631558639245922,10.560798199999999,10.40313,2.873995337288973,0.7966308641014562,121451.70187498383,76710.75824175825,116960.50544090521,32419.798079081902,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,SNN (frog_lib_snn),SNN,frog_lib_snn,SNN,baseline,baseline,20,,,-4.205658619815832,1.9910114696252792,-4.170234558518436,1.9596205253761476,,,,
SNN_FROZEN,adult,50,19.04,18.5,4.963708291187144,1.3758697426718853,1.1423999999999999,1.1099999999999999,0.29782249747122863,0.08255218456031312,1.0,1.0,0.0,0.0,0.3408,0.14500000000000002,0.46603364685395837,0.12917793636500002,110.21459999999999,12.385,193.61503861229374,53.667350643039676,4.274740866359692,4.055976817683021,1.3520941451129829,0.37478137601431105,0.15252082121095462,0.1547008547008547,0.010775869867482812,0.0029869187373405045,-1.590892627177596,-1.4642857142857144,0.4894455152694968,0.1356673752044148,3.72139372945841,3.612032398830205,1.0077819239767802,0.2793428975012731,0.0,0.0,0.0,0.0,2.7994597453148584,2.6364088650525384,0.6410263598603904,0.17768344170283115,480.03767492797056,451.33984970954805,110.92924586283091,30.74801821675486,1.0,1.0,0.0,0.0,0.2195018597562657,0.21576923076923077,0.044975414749510556,0.0124665489363741,1.2635557508504272,1.2504395604395606,0.23298370099993876,0.06457978711413431,1.2312230815866572,1.1741875000002704,0.3500767273789363,0.09703631812317413,0.4218804163980073,0.391847403907397,0.21456556091598397,0.0594745391480527,0.27906459257953203,0.2902547271966796,0.2717096291335532,0.07531406673941479,7.479946628220297,7.344147501864542,3.1825671627681054,0.8821626103709835,0.4218804163980073,0.391847403907397,0.21456556091598397,0.0594745391480527,0.27906459257953203,0.2902547271966796,0.2717096291335532,0.07531406673941479,7.399623570974698,7.344147501864542,3.151000229360093,0.8734127028427481,21.876481480000656,21.62371505000192,1.6941929723774423,0.4696063330474196,0.0,0.0,0.0,0.0,0.015469082954545455,0.014990866477272727,0.0013891731178593278,0.00038505914289711275,5.445117199999999,5.276785,0.48898893748648337,0.13554081829978368,30322.869189226563,30872.04761904762,7097.06683769679,1967.2065622880702,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,SNN frozen (frog_lib_snn_frozen),SNN frozen,frog_lib_snn_frozen,SNN,baseline_frozen,baseline,21,,,-7.05806621182229,3.1897918624043515,-6.97774315457669,3.1582971401308253,,,,
SNN_FROZEN,developmental,50,20.16,20.5,6.850868558073494,1.8989638808571372,1.2096,1.23,0.4110521134844096,0.11393783285142822,1.0,1.0,0.0,0.0,0.4824,0.2,0.6990123317939391,0.19375633309824994,117.34326530612245,14.040000000000001,219.69832702945615,61.51553156824772,4.295961063753411,4.118129830157283,1.606287416945522,0.44524015622226626,0.1540872508015323,0.15555555555555556,0.013823107893044634,0.003831570024672099,-1.5442803676318855,-1.4285714285714286,0.6108476808343859,0.16931833865690749,3.862905532983674,3.726974046803361,1.1125423266033625,0.30838099961133214,0.0,0.0,0.0,0.0,3.0136471316390128,2.9897235571544547,0.7039323103596107,0.19512008157942487,519.4085486895543,507.3716673990619,123.0165486785752,34.09844762136394,1.0,1.0,0.0,0.0,0.2044236588431365,0.2,0.043376538847773226,0.012023363147355567,1.568589939895589,1.594682971014493,0.2873567155526534,0.07965121781721583,1.34616788376376,1.1971123694680137,0.5197627017115287,0.14407087054732057,0.41667658376304306,0.34070582890912926,0.28042162063041814,0.07851805377651708,0.33833465511387656,0.3166650918069013,0.29359468400033034,0.08138029445496642,6.990067410119668,6.775094067598648,3.468173739873463,0.9613287145606729,0.41667658376304306,0.34070582890912926,0.28042162063041814,0.07851805377651708,0.33833465511387656,0.3166650918069013,0.29359468400033034,0.08138029445496642,6.95330968401264,6.686413716492256,3.440800668414615,0.9537412862560944,24.056492760000403,24.71883579999121,2.0869595328874135,0.578475669204507,31.602800000000002,4.779999999999999,117.03094421630546,32.439322711493546,0.015999032386363635,0.015780071022727275,0.0016821912816861375,0.00046627963411299773,5.6316594,5.554584999999999,0.5921313311535203,0.16413043120777518,30632.334452424864,28766.16369047619,8964.732273674399,2484.897009036929,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,SNN frozen (frog_lib_snn_frozen),SNN frozen,frog_lib_snn_frozen,SNN,baseline_frozen,baseline,21,,,-6.573390826356625,3.4794921145570763,-6.536633100249597,3.4522087893230693,,,,
BIO_COMPARE,adult,50,37.46,35.0,15.850817013643177,4.393622317496122,2.2476,2.0999999999999996,0.9510490208185906,0.26361733904976736,0.9197592086707997,0.9283269148480959,0.045003077185062815,0.01247421657231325,1.2402,0.05,2.907598658687268,0.8059452295824574,102.89285714285714,78.77,99.9476915231979,27.985353626495414,4.2645857515235495,4.237940001303389,1.3645921429862846,0.378245644280918,0.17990252105322,0.19069476118738285,0.021097476121278734,0.005847922025060761,-0.6495800618924409,-0.24405660844557672,0.7833611503845812,0.21713663276957262,1.8430522647593568,1.678731722736289,0.7023444893959306,0.1946799600628994,0.7492475143924787,0.7601987878854917,0.05527606460706947,0.015321743407418096,0.3969945637209941,0.4153771706279753,0.06820542606760012,0.01890557956015816,16.587506410170878,17.31498711938094,4.088712372600812,1.1333332480350495,1.0,1.0,0.0,0.0,2.7376260315932224,2.6974603174603176,0.4980391614586061,0.13804941239862611,7.104415707395874,6.958937175247993,1.2424678877326496,0.3443945277783348,44.37953115522733,38.411833059298154,19.414506613250094,5.381426677611124,0.13518653370141326,0.0,0.2439390846328092,0.0996950379837456,0.2622060457204277,0.21959742142891914,0.2797607733248486,0.07754573005177326,3.616526040764888,3.3862946588249536,1.0223878304276621,0.28339144821601675,0.14951897085208338,0.0,0.25787743178505557,0.1053914767109201,0.39774877719104745,0.42473055157682754,0.4234748918178707,0.11738125132532913,3.9182172612825754,3.619403097313172,1.164250084516811,0.3227136588654684,1408.3131127659994,1495.6343029499913,245.54098554474245,68.06048880766285,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.18663960773428567,0.19449869080762333,0.04568172607597681,0.012662328447574776,0.3257599619595203,0.24329173911839397,0.18657291183216074,0.05171537268775835,0.35127136432181727,0.36279012034812996,0.06858959513100672,0.019012065791702063,0.5680060401461465,0.5654455569870136,0.03483654425604016,0.009656197417208096,,,,,,,,,,,,,,,,,0.5229887640373635,0.5383713495795701,0.050315610584961645,0.013946775702113858,0.5645983763194802,0.5798522463318381,0.08493966568657856,0.023544074130689617,bio_compare_family,Семейство compare-биолягушек,bio,bio_family,BioFrog compare (Frog_predator_neuro_compare),BIO compare,Frog_predator_neuro_compare,BIO,bio_compare,bio_family,40,,,-3.4813395070634745,1.051086653334574,-3.768698290430492,1.19246762183359,0.15349467887657434,0.15752707427996432,0.02184336235521937,0.006054671140953904
BIO_COMPARE,developmental,50,37.42,36.5,13.71873171980559,3.8026384255145795,2.2451999999999996,2.1899999999999995,0.8231239031883353,0.22815830553087474,0.8964492132360493,0.9007042253521127,0.05252048722691951,0.014557936326395484,0.8937999999999999,0.08499999999999999,1.8724453423264455,0.5190153691923968,84.95639999999999,75.80000000000001,45.263925316304594,12.546519985437925,4.384350104389604,4.488522290343774,1.0856816849786048,0.3009356096100962,0.18015259978277473,0.1844600257805119,0.017861367716384937,0.004950918539540728,-0.6116459210751072,-0.421283676581447,0.6165296058250158,0.17089328791180602,1.7854765343646009,1.52787547435394,0.6027749333241124,0.16708068721003755,0.7340522535943874,0.7317371901765133,0.051901296184306354,0.014386305325843446,0.3987334496200058,0.4050183589585617,0.05690918484847213,0.015774421243116118,16.13654956870613,16.63160858509901,3.1679410828294827,0.878108467850727,1.0,1.0,0.0,0.0,2.7065418946126503,2.690892857142857,0.45534388502751716,0.12621488555891572,6.812580417623285,6.638148780487805,1.0018575956633953,0.2777007574733201,44.28645067908754,38.382259870945035,15.45447450371377,4.283761778730239,0.16257724314708913,0.0,0.21953941596218368,0.07379537047223335,0.437989441899619,0.4610235713009596,0.28953297950655343,0.080254447409002,3.8654654510511595,3.813264552383622,0.9739755087035251,0.2699722372702409,0.24479094195650236,0.062453160129940524,0.3238451197736597,0.10885640049911834,0.48208934250533436,0.5122610746170367,0.3053861591244838,0.08464872460699512,4.310799856486486,4.195456720414089,1.0212240199713685,0.28306885641587765,1465.1825100140006,1554.7444863499986,201.89390603584565,55.96213561496894,8.8408,4.74,8.785158812451828,2.435121785073494,,,,,,,,,,,,,0.1850416329877004,0.19932570034388614,0.04873801123445545,0.013509487472208396,0.3405236716374263,0.30254386258605814,0.15784425862521034,0.04375219629293777,0.3393524329408281,0.34289155771648594,0.05198424822105431,0.01440929845734095,0.5648492959045621,0.5615762771385331,0.036982276798280526,0.010250964133450577,,,,,,,,,,,,,,,,,0.515968904941026,0.5224090817229399,0.0435446773127737,0.012069968752077378,0.5549449437026556,0.5654505700759238,0.07486302069739154,0.020750970641331887,bio_compare_family,Семейство compare-биолягушек,bio,bio_family,BioFrog compare (Frog_predator_neuro_compare),BIO compare,Frog_predator_neuro_compare,BIO,bio_compare,bio_family,40,,,-3.70288820790407,0.9984116619487712,-4.066008914529983,1.0713422238331214,0.15034472118623884,0.15054593901056856,0.0175402813585103,0.004861917941868867
