arch,mode,spawn_seed,repeats,catches_mean,catches_std,catch_rate_per_minute_mean,catch_rate_per_minute_std,capture_success_mean,capture_success_std,time_to_first_catch_s_mean,time_to_first_catch_s_std,time_to_competence_s_mean,time_to_competence_s_std,learning_auc_mean,learning_auc_std,flies_per_energy_spent_mean,flies_per_energy_spent_std,net_energy_balance_per_catch_mean,net_energy_balance_per_catch_std,movement_efficiency_px_per_catch_mean,movement_efficiency_px_per_catch_std,visible_but_ignored_ratio_mean,visible_but_ignored_ratio_std,avg_acceleration_px_s2_mean,avg_acceleration_px_s2_std,avg_jerk_px_s3_mean,avg_jerk_px_s3_std,tongue_usage_ratio_mean,tongue_usage_ratio_std,reaction_latency_mean_s_mean,reaction_latency_mean_s_std,ttc_mean_s_mean,ttc_mean_s_std,compute_per_catch_s_mean,compute_per_catch_s_std,catch_rate_low_energy_mean,catch_rate_low_energy_std,catch_rate_mid_energy_mean,catch_rate_mid_energy_std,catch_rate_high_energy_mean,catch_rate_high_energy_std,strike_rate_low_energy_mean,strike_rate_low_energy_std,strike_rate_mid_energy_mean,strike_rate_mid_energy_std,strike_rate_high_energy_mean,strike_rate_high_energy_std,wall_clock_s_mean,wall_clock_s_std,adult_time_s_mean,adult_time_s_std,avg_spike_rate_mean,avg_spike_rate_std,avg_spike_count_mean,avg_spike_count_std,spikes_per_catch_mean,spikes_per_catch_std,avg_food_prediction_error_mean,avg_food_prediction_error_std,avg_hunger_bias_mean,avg_hunger_bias_std,avg_reward_seek_bias_mean,avg_reward_seek_bias_std,avg_predation_bias_mean,avg_predation_bias_std,avg_prey_permission_mean,avg_prey_permission_std,avg_fast_target_lock_mean,avg_fast_target_lock_std,avg_fast_loop_gate_mean,avg_fast_loop_gate_std,avg_fast_strike_drive_mean,avg_fast_strike_drive_std,avg_maturity_readiness_mean,avg_maturity_readiness_std,avg_maturity_stability_mean,avg_maturity_stability_std,study_key,study_label,study_family,study_role,arch_label_ru,arch_short_label,arch_folder_name,arch_family,arch_branch,chronology_group,chronology_order,homeostatic_catch_delta,homeostatic_strike_delta,avg_task_set_bias_mean,avg_task_set_bias_std
ANN,adult,0,5,104.6,28.359125515431536,6.276,1.701547530925892,1.0,0.0,0.13,0.0,5.25,0.9763605891267836,12.134641770385793,1.6892313026942112,0.19844883973657074,0.0009720002919145278,-0.03920335103268012,0.024751546532300328,9.300619116403542,2.775467057205081,3.757985719654265e-05,7.51597143930853e-05,9.213682569399086,0.5954244340220809,1406.9982330652304,91.42600635207316,1.0,0.0,0.15750997744795908,0.014236293604578655,0.7635270825795748,0.03210736687636381,0.1899385784976099,0.055637887888321455,3.880209305365862,3.954386092822372,1.7741784992512888,0.34135513108017745,8.488139443274203,2.086070658298852,3.880209305365862,3.954386092822372,1.7741784992512888,0.34135513108017745,8.394496814588795,2.073697400821259,18.33007354000001,0.22009566157386612,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,adult,1,5,109.4,21.434551546510136,6.564,1.2860730927906079,1.0,0.0,0.132,0.0040000000000000036,5.61,0.9176491704349763,11.895864512533569,1.129641169108757,0.19470629281265614,0.00215257296901033,-0.13656959712962105,0.05687631381949713,8.518395265487072,1.8555688780672932,2.798376941374003e-05,5.596753882748006e-05,9.200287835174723,0.8336047513421893,1401.8038676402825,119.15045172465145,1.0,0.0,0.15895660901394565,0.007724615775525972,0.7781230476611511,0.06650828549758238,0.17194284803279908,0.03181957029358575,1.6596287292368452,0.7295403708427415,1.4165557087181113,0.3583849531093241,9.551871253916392,1.6293995511107924,1.6596287292368452,0.7295403708427415,1.4165557087181113,0.3583849531093241,9.516326588719563,1.6490285940189733,18.144522599995252,0.1827951099645364,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,adult,2,5,142.4,25.40551121312067,8.544,1.5243306727872403,1.0,0.0,0.148,0.036,25.016,25.22609965888504,13.296714662461394,2.942943458623696,0.1983340726534405,0.001409870583917994,-0.04225281746996243,0.03584518120693071,6.41076615985029,1.2392994762069025,0.0,0.0,9.315127621631332,0.3741136959162812,1422.8146860642403,50.68988729210479,1.0,0.0,0.15791636722553054,0.007634335550029556,0.751585400113626,0.029205953850592815,0.13311015865830275,0.025894340258229096,3.005162351791081,0.29880240591816287,1.5493110058015218,0.5137475344933351,11.660668260703885,2.0418467296170326,3.005162351791081,0.29880240591816287,1.5493110058015218,0.5137475344933351,11.572526394973895,2.0403476454750997,18.308828399999765,0.27369047797743035,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,adult,3,5,112.8,17.71327186038762,6.767999999999999,1.0627963116232575,1.0,0.0,0.14,0.0,29.792,28.706251165904614,10.375348797664659,3.518293895870207,0.19839726180420086,0.0014420090377999116,-0.04065970484699593,0.03681263115002851,8.116508219183117,1.6678144651542794,0.00011120378092855157,0.00022240756185710315,9.32333263508821,0.6254004789837165,1432.3560527244067,92.85342461887592,1.0,0.0,0.15171415692129347,0.009889525304300744,0.7690774965385405,0.06162291164263182,0.13978066308955656,0.029559845381937996,13.169001525749682,8.849347098103816,1.5044355646250338,0.3106954240531284,10.098896409451834,2.4714150407810735,13.169001525749682,8.849347098103816,1.5044355646250338,0.3106954240531284,10.059538992754089,2.444845013927281,15.261254400000325,0.7697749268006496,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,adult,4,5,115.4,23.686282950264694,6.9239999999999995,1.421176977015882,1.0,0.0,0.134,0.007999999999999997,4.112,1.0231989053942543,12.041423406403542,2.733287885980634,0.19710938256089602,0.0016216126049155876,-0.07366853344265469,0.0417320789912397,8.055243573223537,1.4986742139877143,2.762812543168946e-05,5.525625086337892e-05,9.39228194507238,0.3243569085551346,1432.6250759961345,47.403257559713474,1.0,0.0,0.15561087572559523,0.012128708015983532,0.7264887776652167,0.023142555718417085,0.1321574679946143,0.02401200180172113,14.867237217467785,1.2617950405968843,1.4931029286811703,0.25057645052247446,9.881935391814599,1.784976938341593,14.867237217467785,1.2617950405968843,1.4931029286811703,0.25057645052247446,9.80679822996576,1.7679615654737022,14.688425760000246,0.06290376360781808,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,adult,5,5,87.4,43.85704048382654,5.244,2.631422429029592,1.0,0.0,0.484,0.16069847541280532,54.048,21.44013843238891,9.147293773016262,2.40193664706248,0.1915843253704927,0.006082103417426535,-0.22496938002472508,0.16811854548723218,12.247211308538143,4.02808399018734,7.491772815070884e-05,9.436950636564235e-05,9.124449576324677,0.4475030504889902,1405.0013654480827,56.486845399811166,1.0,0.0,0.16288068941475037,0.01685904792499635,0.8122465600694303,0.06791973939168001,0.19922175183168575,0.06444247448804744,2.036829133186894,2.149347968930282,1.3169499532411848,0.3973342645934909,8.787133981717307,2.959519510849178,2.036829133186894,2.149347968930282,1.3169499532411848,0.3973342645934909,8.748117110461578,2.937484306963128,14.690732660004869,0.14690622747282214,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,adult,6,5,108.0,24.51122191976565,6.4799999999999995,1.4706733151859386,1.0,0.0,0.612,0.1946689497583012,29.577999999999996,20.845799001237637,11.573352308376807,2.52119734313577,0.19414312823767257,0.002817187971429571,-0.15191984054822127,0.07449203998198746,8.891041157345368,1.823666677929649,1.7562346329469618e-05,3.5124692658939236e-05,8.685649621665808,0.4413182378867201,1334.7187684592568,65.90492446853953,1.0,0.0,0.15602762166969622,0.01024559962918472,0.7692348178801491,0.045431119535729404,0.1447954311602276,0.026073634191487515,3.8355966933698755,3.5354222775266506,1.1772897832884277,0.340329600646021,9.316031023841834,2.2278195184341767,3.8355966933698755,3.5354222775266506,1.1772897832884277,0.340329600646021,9.259215005005208,2.186558102002422,15.018971620002413,0.5386728870093506,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,adult,7,5,93.6,16.98940846527624,5.616,1.0193645079165743,1.0,0.0,0.178,0.011661903789690599,15.936000000000002,21.089307812254056,11.520491464670588,1.776804151017767,0.1918242316869039,0.0060527543198451135,-0.2183524294141078,0.1663315814774573,9.87678121993566,2.3463244902916953,0.0,0.0,9.231252549034929,0.4673162263918541,1411.982837512946,64.0195941410544,1.0,0.0,0.15295758192332404,0.014460359188927626,0.7729323173062261,0.051380139437296926,0.1839787371648653,0.04252594785925679,1.0713300709396736,1.1282748264247329,1.224342365385643,0.18101949941338807,9.323670214955076,1.7139790780371558,1.0713300709396736,1.1282748264247329,1.224342365385643,0.18101949941338807,9.323670214955076,1.7139790780371558,16.504618879998453,0.4989726206402592,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,adult,8,5,111.8,35.73457709278228,6.708,2.1440746255669363,1.0,0.0,0.132,0.0040000000000000036,4.708,0.4413343403815298,13.623786798824355,1.5202189825368086,0.19461235485203845,0.00400364409901507,-0.1406298307209604,0.1074313183131157,8.82000685987191,2.310060173617649,7.055258047635505e-05,0.00010599660360772751,9.024933889887222,0.3846338740313438,1394.1065663747781,61.03664408941173,1.0,0.0,0.16280701122268454,0.010291508780183757,0.7615844100643494,0.03781903651695609,0.15972623868808494,0.037570872507483664,1.6926322501371391,0.7937683212827913,1.297173296689518,0.26704624993692894,9.382622564278924,1.705748483688325,1.4911818069461673,0.6780879585071538,1.327004007406217,0.2620528310016086,9.36890843529753,1.6842396158671145,16.55492621999874,0.46673625662543955,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
ANN,adult,9,5,98.4,37.27519282310958,5.903999999999999,2.2365115693865745,1.0,0.0,0.162,0.0040000000000000036,20.042,21.00336963441819,10.655900928751418,2.543339287826506,0.19553839065417822,0.005090199370598378,-0.1176872920221043,0.13837652854436056,10.503411250706122,3.812574578832413,2.7689325764917624e-05,5.537865152983525e-05,8.876118231688636,0.7494864240289983,1365.5602327584634,106.7626554977421,1.0,0.0,0.16615534777478413,0.008950281067037661,0.7844672760918866,0.047282178663703246,0.18370749291392569,0.06032120879208009,8.11248805797654,8.752653488276708,1.6407574895813195,0.6073598043989067,8.055655955418336,1.5547895932052531,8.11248805797654,8.752653488276708,1.6407574895813195,0.6073598043989067,7.96531815225404,1.5425822782691718,15.973462400003337,0.30353956095062506,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,,
