arch,mode,training_mode,spawn_seed,repeat,steps_requested,steps_executed,dt,sim_time_s,wall_clock_s,ms_per_step,catches,strike_attempts,successful_strike_episodes,captures_per_strike_attempt,capture_success,false_strike_rate,catch_rate_per_1k_steps,catch_rate_per_minute,time_to_first_catch_s,time_to_competence_s,learning_auc,ttc_mean_s,ttc_median_s,reaction_latency_mean_s,reaction_latency_median_s,energy_initial,energy_final,energy_spent_est,catch_rate_low_energy,catch_rate_mid_energy,catch_rate_high_energy,strike_rate_low_energy,strike_rate_mid_energy,strike_rate_high_energy,flies_per_energy_spent,net_energy_balance_per_catch,path_length_px,movement_efficiency_px_per_catch,avg_speed_px_s,avg_alignment,avg_controller_signal,avg_neural_activity,avg_acceleration_px_s2,avg_jerk_px_s3,tongue_usage_ratio,visible_time_s,visible_but_ignored_ratio,visible_but_ignored_ratio_low_energy,visible_but_ignored_ratio_high_energy,energy_deficit_strike_correlation,strike_opportunity_count,strike_opportunity_conversion,shot_distance_mean_px,shot_distance_std_px,shot_distance_p10_px,shot_distance_p50_px,shot_distance_p90_px,pre_shot_positioning_error_mean_px,pre_shot_positioning_error_p90_px,survived,compute_per_catch_s,avg_visible_target_count,seeded_spawn_stream,model_seed,runtime_seed,adult_reached,adult_step,adult_time_s,catches_before_maturity,avg_juvenile_progress,avg_maturity_readiness,avg_maturity_stability,avg_food_prediction_error,avg_hunger_bias,avg_reward_seek_bias,avg_predation_bias,avg_prey_permission,avg_fast_target_lock,avg_fast_loop_gate,avg_fast_strike_drive,avg_effective_motor_gate,avg_bg_gating_signal,avg_spike_rate,avg_spike_count,burst_ratio,silent_ratio,spikes_per_catch,avg_eligibility_norm,avg_learning_reward,avg_actor_advantage,avg_value_estimate,study_key,study_label,study_family,study_role,arch_label_ru,arch_short_label,arch_folder_name,arch_family,arch_branch,chronology_group,chronology_order,homeostatic_catch_delta,homeostatic_strike_delta,avg_task_set_bias
ANN,adult,False,0,0,100000,100000,0.01,1000.0,18.345317200000864,0.18345317200000863,65,64,64,1.015625,1.0,0.0,0.65,3.9,0.13,4.11,10.648308238918304,0.806923076923077,0.76,0.1852,0.15,30.0,24.665195936196547,330.33480406380346,2.7008777852802326,1.429252024774508,5.935382720200891,2.7008777852802326,1.429252024774508,5.823394366989553,0.19677006237418868,-0.08207390867389928,907.8986867186219,13.967672103363414,0.9078986867186218,0.04831839282233992,0.9160017120269881,0.9160017120269881,9.261211531077638,1415.7461780754472,1.0,53.22,0.00018789928598271326,0.0,0.00025960539979231567,-0.018975864339723487,85,0.7647058823529411,94.69609876990398,14.321388446002175,83.55402882672794,100.12067567264387,102.72611544153082,0.0,0.0,1.0,0.28223564923078254,0.09836,True,2244172709,3080814665,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.007643429756505258,0.00035274826399064066,-0.534810701394579,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,-3.234504934921,-3.122516581709,
ANN,adult,False,0,1,100000,100000,0.01,1000.0,18.741839499998605,0.18741839499998605,88,87,87,1.0114942528735633,1.0,0.0,0.88,5.279999999999999,0.13,6.0600000000000005,11.561408050604093,0.7711363636363636,0.745,0.15666666666666668,0.14500000000000002,30.0,29.370168039425014,440.62983196057496,1.4879107253563981,2.2424317927003283,6.808736404638215,1.4879107253563981,2.2424317927003283,6.72031125652603,0.19971412196138763,-0.007157181370170296,925.6779116405994,10.519067177734085,0.9256779116405994,0.06357709222999328,0.9334292550974216,0.9334292550974216,8.097237967020945,1234.5255590063894,1.0,69.54,0.0,0.0,0.0,-0.01777557425931975,83,1.0602409638554218,94.12560728762512,15.596819210175852,81.27809737839974,101.60526160786456,102.84343240330867,0.0,0.0,1.0,0.21297544886362052,0.10998,True,2244172709,4238264589,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.006294597409009913,0.0006214917059566414,-0.4633025343274486,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,-5.320825679282,-5.232400531170,
ANN,adult,False,0,2,100000,100000,0.01,1000.0,18.144782700008363,0.18144782700008363,127,127,127,1.0,1.0,0.0,1.27,7.619999999999999,0.13,4.68,14.020813749069161,0.7411023622047245,0.76,0.1494285714285714,0.13,30.0,25.5226357670889,639.4773642329111,1.9193857965449774,2.1307764016519184,9.522912827693192,1.9193857965449774,2.1307764016519184,9.522912827693192,0.19859968015027962,-0.03525483647961496,869.5477780288453,6.846832897864924,0.8695477780288453,0.08969609838491928,0.8786087300850092,0.8786087300850092,9.871225076058597,1506.3232436974833,1.0,96.05,0.0,0.0,0.0,-0.024460318788135982,148,0.8581081081081081,94.60430397733847,17.810177897749604,77.92109048780998,102.3026027425528,102.82926951100451,0.0,0.0,1.0,0.1428723047244753,0.15746,True,2244172709,1383473209,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.003952887561499587,0.0011405613925653034,-0.3421482182513859,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,-7.603527031148,-7.603527031148,
ANN,adult,False,0,3,100000,100000,0.01,1000.0,18.142579899998964,0.18142579899998965,145,143,143,1.013986013986014,1.0,0.0,1.45,8.7,0.13,4.68,14.240875245952832,0.7153103448275862,0.66,0.14963302752293578,0.13,30.0,26.10737912558848,728.8926208744115,11.741682974559836,1.566272923057526,11.853056955690052,11.741682974559836,1.566272923057526,11.678747294576963,0.19893190827758916,-0.02684566120283807,912.3898661498323,6.292343904481602,0.9123898661498323,0.09746788487479942,0.9204787496760051,0.9204787496760051,9.360345179393194,1435.25450600033,1.0,105.69,0.0,0.0,0.0,-0.03149752914691489,155,0.9354838709677419,95.0567209427933,16.26103269181966,82.06235007943472,101.95048521466057,102.8261166101114,0.0,0.0,1.0,0.12512124068964803,0.18316,True,2244172709,3749481064,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.0028031743904238177,0.0015380838455969024,-0.2923979400257554,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,-0.111373981130,0.062935679983,
ANN,adult,False,0,4,100000,100000,0.01,1000.0,18.275848399993265,0.18275848399993266,98,97,97,1.0103092783505154,1.0,0.0,0.98,5.88,0.13,6.72,10.201803567384573,0.7831632653061225,0.8300000000000001,0.14662162162162162,0.13,30.0,25.620853591185956,494.37914640881405,1.5511892450878655,1.5021593540721625,8.320608308148664,1.5511892450878655,1.5021593540721625,8.22711832715823,0.19822842591940848,-0.044685167436878004,869.963590860221,8.877179498573684,0.869963590860221,0.06989761255107667,0.879130651527426,0.879130651527426,9.478393093445058,1443.1416785465015,1.0,77.76,0.0,0.0,0.0,-0.02305265733718942,110,0.8909090909090909,94.030876703278,17.346564048671357,77.91975950836623,101.8385558433974,102.88248490260307,0.0,0.0,1.0,0.18648824897952312,0.14948,True,2244172709,3703493613,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.005652566425642323,0.0008704406697247912,-0.4373274266192925,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,-6.769419063061,-6.675929082070,
ANN,adult,False,1,0,100000,100000,0.01,1000.0,18.473174299986567,0.18473174299986567,145,144,144,1.0069444444444444,1.0,0.0,1.45,8.7,0.14,5.01,13.021045474856466,0.7613793103448276,0.74,0.15300000000000002,0.13,30.0,21.545351037819024,733.454648962181,,1.6845144988574892,11.030146402554958,,1.6845144988574892,10.950217805434994,0.19769456803521687,-0.058307923877110174,846.0413288176476,5.834767784949293,0.8460413288176476,0.10387123224189086,0.8564078129263684,0.8564078129263684,10.181298815905258,1526.0156853532974,1.0,112.93,0.0,,0.0,-0.03083871814240016,182,0.7967032967032966,95.71877454195322,16.26311224305674,82.33460793542314,102.37998213848064,102.8304193378346,0.0,0.0,1.0,0.12740120206887287,0.18962,True,2244172709,2677513426,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.0027555939031011227,0.0014465920911585863,-0.2831427429600292,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,
ANN,adult,False,1,1,100000,100000,0.01,1000.0,18.176484299998265,0.18176484299998263,117,117,117,1.0,1.0,0.0,1.17,7.02,0.13,6.7700000000000005,11.389470249238688,0.9003418803418803,0.92,0.1668421052631579,0.14,30.0,18.679834408297978,596.320165591702,,1.734390485629875,8.70896231395115,,1.734390485629875,8.70896231395115,0.1962033262516053,-0.09675355206582925,906.7632804725653,7.750113508312523,0.9067632804725653,0.09778187484298304,0.9151837665928567,0.9151837665928567,9.061296399910084,1381.0435690217114,1.0,106.76,0.0,,0.0,-0.024597840115519555,133,0.8796992481203008,96.75472166595036,14.542485106114947,89.28899229565872,102.39624341168522,102.86615052850519,0.0,0.0,1.0,0.15535456666665184,0.16582,True,2244172709,3484429500,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.004115647375441143,0.0008244846314627099,-0.332032281028657,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,
ANN,adult,False,1,2,100000,100000,0.01,1000.0,18.095717000003788,0.1809571700000379,100,100,100,1.0,1.0,0.0,1.0,6.0,0.13,5.55,13.364237571025715,0.7009000000000001,0.5700000000000001,0.1552112676056338,0.13,30.0,13.363346740908778,516.6366532590912,2.3891691000795867,0.9760632117133173,10.92321385226015,2.3891691000795867,0.9760632117133173,10.92321385226015,0.19355963106599486,-0.16636653259091222,857.9261137059116,8.579261137059115,0.8579261137059115,0.06759140779171965,0.8677933408023016,0.8677933408023016,10.070391776389288,1536.256804413221,1.0,71.47,0.00013991884706870015,0.0,0.0,-0.030497680916071822,105,0.9523809523809523,91.81181957813683,22.32342486902102,58.60018493529443,102.39851726699644,102.92687725857469,0.0,0.0,1.0,0.1809571700000379,0.11832,True,2244172709,4188383810,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.005841384803431238,0.0006803506304855384,-0.4371735503801325,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,-8.534044752181,-8.534044752181,
ANN,adult,False,1,3,100000,100000,0.01,1000.0,18.047959799994715,0.18047959799994714,105,105,105,1.0,1.0,0.0,1.05,6.3,0.13,4.2700000000000005,11.364017543231029,0.7476190476190476,0.8,0.15024691358024692,0.13,30.0,6.5215981666479825,548.478401833352,0.9300883583941038,0.9800451909731993,10.349197409187282,0.9300883583941038,0.9800451909731993,10.349197409187282,0.19143871417548158,-0.22360382698430492,930.2206938548298,8.859244703379332,0.9302206938548299,0.07220822786999846,0.9370810903316176,0.9370810903316176,7.976789730969094,1216.7164455774684,1.0,80.07000000000001,0.0,0.0,0.0,-0.028956961253410407,124,0.8467741935483871,94.73356773266143,17.774058126391953,76.39199550414796,102.32123751101865,102.85267636260355,0.0,0.0,1.0,0.17188533142852108,0.13394,True,2244172709,1198708926,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.005284660609208109,0.0007076813117082045,-0.401719498650202,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,-9.419109050793,-9.419109050793,
ANN,adult,False,1,4,100000,100000,0.01,1000.0,17.92927759999293,0.1792927759999293,80,79,79,1.0126582278481013,1.0,0.0,0.8,4.8,0.13,6.45,10.340551724315947,0.780375,0.7,0.16948275862068965,0.14,30.0,18.974707989604106,411.0252920103959,,1.7077651564166756,6.747836291628424,,1.7077651564166756,6.650041562764244,0.1946352245349821,-0.1378161501299487,925.4871354988077,11.568589193735097,0.9254871354988077,0.05588273894387322,0.933232383956628,0.933232383956628,8.711662452699898,1348.9868338357142,1.0,63.53,0.0,,0.0,-0.025583023279369968,80,1.0,95.53516599152543,16.288032690974827,84.66217074403882,101.66488021602217,102.73459730685016,0.0,0.0,1.0,0.22411596999991162,0.11241,True,2244172709,645404134,1.0,0,0.0,0,1.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,-0.006733485036957645,0.0005461679419664071,-0.48744649677309687,ann_snn_baseline,Базовое сравнение ANN/SNN,baseline,main_baseline,ANN (frog_lib_ann),ANN,frog_lib_ann,ANN,baseline,baseline,10,,,
