Группа,Режим,Архитектура,Короткое имя,"Темп ловли, mean ± std","Первая поимка, с",Энергоэффективность,Learning AUC,Игнорирование видимой добычи,Low E catch,High E catch,Delta low-high,"Вычислительная цена, с/поимку"
BIO compare family,adult,BioFrog compare (Frog_predator_neuro_compare),BIO compare,2.25 ± 0.95,1.24 ± 2.91,0.180 ± 0.021,4.26 ± 1.36,0.749 ± 0.055,0.14 ± 0.24,3.62 ± 1.02,-3.48 ± 1.05,44.38 ± 19.41
BIO compare family,adult,BioFrog dual compare (Frog_predator_neuro_dual_compare),BIO dual compare,5.39 ± 2.12,0.72 ± 1.48,0.190 ± 0.011,9.20 ± 3.05,0.172 ± 0.111,0.10 ± 0.21,8.83 ± 2.42,-8.73 ± 2.43,19.48 ± 10.73
BIO compare family,adult,BioFrog fast compare (Frog_predator_neuro_fast_compare),BIO fast compare,2.00 ± 0.78,1.56 ± 4.46,0.176 ± 0.021,3.99 ± 1.16,0.749 ± 0.061,0.22 ± 0.28,3.64 ± 0.91,-3.42 ± 0.95,5.89 ± 2.40
BIO compare family,adult,BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),BIO dual fast compare,5.02 ± 2.40,0.56 ± 0.89,0.184 ± 0.023,9.00 ± 3.56,0.174 ± 0.111,0.13 ± 0.23,8.68 ± 2.59,-8.55 ± 2.60,2.81 ± 2.41
BIO compare family,developmental,BioFrog compare (Frog_predator_neuro_compare),BIO compare,2.25 ± 0.82,0.89 ± 1.87,0.180 ± 0.018,4.38 ± 1.09,0.734 ± 0.052,0.16 ± 0.22,3.87 ± 0.97,-3.70 ± 1.00,44.29 ± 15.45
BIO compare family,developmental,BioFrog dual compare (Frog_predator_neuro_dual_compare),BIO dual compare,4.85 ± 2.16,0.71 ± 1.26,0.186 ± 0.017,8.52 ± 2.81,0.181 ± 0.109,0.11 ± 0.20,8.50 ± 2.15,-8.39 ± 2.16,19.78 ± 10.83
BIO compare family,developmental,BioFrog fast compare (Frog_predator_neuro_fast_compare),BIO fast compare,2.25 ± 0.76,1.94 ± 7.45,0.183 ± 0.016,4.27 ± 1.33,0.739 ± 0.055,0.17 ± 0.25,3.63 ± 1.16,-3.46 ± 1.18,4.97 ± 1.75
BIO compare family,developmental,BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),BIO dual fast compare,5.23 ± 1.99,0.64 ± 1.15,0.190 ± 0.010,9.70 ± 3.15,0.180 ± 0.107,0.07 ± 0.16,8.79 ± 2.13,-8.72 ± 2.13,2.08 ± 0.73
