Группа,Режим,Архитектура,Короткое имя,"Темп ловли, mean ± std","Первая поимка, с",Энергоэффективность,Learning AUC,Игнорирование видимой добычи,Low E catch,High E catch,Delta low-high,"Вычислительная цена, с/поимку"
Основное сравнение,adult,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),ANN V3.1,1.96 ± 0.68,4.97 ± 10.08,0.183 ± 0.018,2.97 ± 1.08,0.015 ± 0.010,2.31 ± 2.59,2.38 ± 0.76,-0.07 ± 2.70,0.54 ± 0.28
Основное сравнение,adult,SNN (frog_lib_snn),SNN,0.85 ± 0.47,0.24 ± 0.18,0.133 ± 0.028,2.81 ± 1.14,0.010 ± 0.009,0.17 ± 0.27,4.57 ± 1.81,-4.41 ± 1.83,2.30 ± 1.47
Основное сравнение,adult,BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),BIO dual fast compare,5.02 ± 2.40,0.56 ± 0.89,0.184 ± 0.023,9.00 ± 3.56,0.174 ± 0.111,0.13 ± 0.23,8.68 ± 2.59,-8.55 ± 2.60,2.81 ± 2.41
Основное сравнение,developmental,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),ANN V3.1,2.69 ± 0.50,5.45 ± 6.66,0.194 ± 0.005,3.37 ± 0.76,0.012 ± 0.003,1.78 ± 1.10,2.89 ± 0.60,-1.12 ± 1.25,0.35 ± 0.06
Основное сравнение,developmental,SNN (frog_lib_snn),SNN,0.80 ± 0.48,0.29 ± 0.25,0.129 ± 0.029,2.59 ± 1.13,0.014 ± 0.019,0.13 ± 0.17,4.34 ± 1.98,-4.21 ± 1.99,2.82 ± 2.17
Основное сравнение,developmental,BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),BIO dual fast compare,5.23 ± 1.99,0.64 ± 1.15,0.190 ± 0.010,9.70 ± 3.15,0.180 ± 0.107,0.07 ± 0.16,8.79 ± 2.13,-8.72 ± 2.13,2.08 ± 0.73
