Группа,Режим,Метрика,Сравнение,Mean diff (L-R),Cliff's delta,p raw,p Holm,significant<0.05,Предпочтительная архитектура
bio_family,developmental,Успешность поимки,BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.0078,-0.1476,0.2046,0.8184,False,BIO_DUAL_FAST_COMPARE
bio_family,developmental,Успешность поимки,BioFrog fast compare (Frog_predator_neuro_fast_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.0027,-0.0712,0.5417,1.0000,False,BIO_DUAL_FAST_COMPARE
bio_family,developmental,"Вычислительная цена, с/поимку",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual compare (Frog_predator_neuro_dual_compare),24.5040,0.8568,1.58e-13,1.58e-13,True,BIO_DUAL_COMPARE
bio_family,developmental,"Вычислительная цена, с/поимку",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),39.3161,1.0000,7.07e-18,4.24e-17,True,BIO_FAST_COMPARE
bio_family,developmental,"Вычислительная цена, с/поимку",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),42.2056,1.0000,7.07e-18,4.24e-17,True,BIO_DUAL_FAST_COMPARE
bio_family,developmental,"Вычислительная цена, с/поимку",BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),14.8121,0.9992,7.50e-18,4.24e-17,True,BIO_FAST_COMPARE
bio_family,developmental,"Вычислительная цена, с/поимку",BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),17.7017,1.0000,7.07e-18,4.24e-17,True,BIO_DUAL_FAST_COMPARE
bio_family,developmental,"Вычислительная цена, с/поимку",BioFrog fast compare (Frog_predator_neuro_fast_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),2.8895,0.9472,3.38e-16,6.77e-16,True,BIO_DUAL_FAST_COMPARE
ann_history,adult,"Темп ловли, мух/мин",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2),-5.7948,-0.9352,7.81e-16,1.02e-14,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,"Темп ловли, мух/мин",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN homeostatic V3 (frog_lib_ann_soft_sated_v3),0.2748,0.3280,0.0045,0.0134,True,ANN_SOFT_SATED_V2
ann_history,adult,"Темп ловли, мух/мин",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),0.3144,0.4232,0.0002,0.0010,True,ANN_SOFT_SATED_V2
ann_history,adult,"Темп ловли, мух/мин",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),-0.7812,-0.6616,1.19e-08,8.31e-08,True,ANN_SOFT_SATED_V3_1
ann_history,adult,"Темп ловли, мух/мин",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),0.0108,0.0048,0.9697,0.9697,False,ANN_SOFT_SATED_V2
ann_history,adult,"Темп ловли, мух/мин",ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN homeostatic V3 (frog_lib_ann_soft_sated_v3),6.0696,0.9556,1.38e-16,1.93e-15,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,"Темп ловли, мух/мин",ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),6.1092,0.9644,8.13e-17,1.22e-15,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,"Темп ловли, мух/мин",ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),5.0136,0.8160,2.07e-12,1.86e-11,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,"Темп ловли, мух/мин",ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),5.8056,0.9336,8.61e-16,1.03e-14,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,"Темп ловли, мух/мин",ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),0.0396,0.2728,0.0165,0.0329,True,ANN_SOFT_SATED_V3
ann_history,adult,"Темп ловли, мух/мин",ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),-1.0560,-0.8924,1.19e-14,1.24e-13,True,ANN_SOFT_SATED_V3_1
ann_history,adult,"Темп ловли, мух/мин",ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),-0.2640,-0.4900,2.20e-05,0.0001,True,ANN_FROZEN_SOFT_SATED_V3_1
ann_history,adult,"Темп ловли, мух/мин",ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),-1.0956,-0.8944,1.13e-14,1.24e-13,True,ANN_SOFT_SATED_V3_1
ann_history,adult,"Темп ловли, мух/мин",ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),-0.3036,-0.5476,2.19e-06,1.32e-05,True,ANN_FROZEN_SOFT_SATED_V3_1
ann_history,adult,"Темп ловли, мух/мин",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),0.7920,0.7124,8.16e-10,6.53e-09,True,ANN_SOFT_SATED_V3_1
ann_history,adult,"Время до первой поимки, с",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2),-0.0200,-0.0236,0.8415,1.0000,False,ANN_SOFT_SATED_V2
ann_history,adult,"Время до первой поимки, с",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN homeostatic V3 (frog_lib_ann_soft_sated_v3),-99.2090,-1.0000,7.05e-18,1.06e-16,True,ANN_SOFT_SATED_V2
ann_history,adult,"Время до первой поимки, с",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),-88.2804,-1.0000,7.05e-18,1.06e-16,True,ANN_SOFT_SATED_V2
ann_history,adult,"Время до первой поимки, с",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),-3.9646,-0.3428,0.0032,0.0127,True,ANN_SOFT_SATED_V2
ann_history,adult,"Время до первой поимки, с",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),-4.0504,-0.3700,0.0014,0.0087,True,ANN_SOFT_SATED_V2
ann_history,adult,"Время до первой поимки, с",ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN homeostatic V3 (frog_lib_ann_soft_sated_v3),-99.1890,-1.0000,7.05e-18,1.06e-16,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,"Время до первой поимки, с",ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),-88.2604,-1.0000,7.05e-18,1.06e-16,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,"Время до первой поимки, с",ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),-3.9446,-0.3096,0.0077,0.0231,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,"Время до первой поимки, с",ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),-4.0304,-0.3592,0.0020,0.0099,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,"Время до первой поимки, с",ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),10.9286,0.6340,4.76e-08,3.33e-07,True,ANN_FROZEN_SOFT_SATED_V3
ann_history,adult,"Время до первой поимки, с",ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),95.2444,1.0000,7.06e-18,1.06e-16,True,ANN_SOFT_SATED_V3_1
ann_history,adult,"Время до первой поимки, с",ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),95.1586,1.0000,7.06e-18,1.06e-16,True,ANN_FROZEN_SOFT_SATED_V3_1
ann_history,adult,"Время до первой поимки, с",ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),84.3158,1.0000,7.06e-18,1.06e-16,True,ANN_SOFT_SATED_V3_1
ann_history,adult,"Время до первой поимки, с",ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),84.2300,1.0000,7.06e-18,1.06e-16,True,ANN_FROZEN_SOFT_SATED_V3_1
ann_history,adult,"Время до первой поимки, с",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),-0.0858,-0.0176,0.8822,1.0000,False,ANN_SOFT_SATED_V3_1
ann_history,adult,"Энергоэффективность, мух/энергию",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2),-0.0377,-0.8892,1.86e-14,2.79e-13,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,"Энергоэффективность, мух/энергию",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN homeostatic V3 (frog_lib_ann_soft_sated_v3),-0.0115,-0.3896,0.0008,0.0048,True,ANN_SOFT_SATED_V3
ann_history,adult,"Энергоэффективность, мух/энергию",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),-0.0165,-0.4540,9.26e-05,0.0006,True,ANN_FROZEN_SOFT_SATED_V3
ann_history,adult,"Энергоэффективность, мух/энергию",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),-0.0308,-0.7644,4.57e-11,5.48e-10,True,ANN_SOFT_SATED_V3_1
ann_history,adult,"Энергоэффективность, мух/энергию",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),-0.0091,-0.2516,0.0304,0.0911,False,ANN_FROZEN_SOFT_SATED_V3_1
ann_history,adult,"Энергоэффективность, мух/энергию",ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN homeostatic V3 (frog_lib_ann_soft_sated_v3),0.0262,0.8016,5.05e-12,6.56e-11,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,"Энергоэффективность, мух/энергию",ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),0.0213,0.6656,9.91e-09,1.09e-07,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,"Энергоэффективность, мух/энергию",ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),0.0069,0.2964,0.0107,0.0537,False,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,"Энергоэффективность, мух/энергию",ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),0.0286,0.8088,3.25e-12,4.55e-11,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,"Энергоэффективность, мух/энергию",ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),-0.0050,-0.2196,0.0589,0.1178,False,ANN_FROZEN_SOFT_SATED_V3
ann_history,adult,"Энергоэффективность, мух/энергию",ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),-0.0193,-0.6056,1.84e-07,1.65e-06,True,ANN_SOFT_SATED_V3_1
ann_history,adult,"Энергоэффективность, мух/энергию",ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),0.0024,0.1476,0.2046,0.2046,False,ANN_SOFT_SATED_V3
ann_history,adult,"Энергоэффективность, мух/энергию",ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),-0.0143,-0.4584,7.92e-05,0.0006,True,ANN_SOFT_SATED_V3_1
ann_history,adult,"Энергоэффективность, мух/энергию",ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),0.0074,0.2844,0.0144,0.0575,False,ANN_FROZEN_SOFT_SATED_V3
ann_history,adult,"Энергоэффективность, мух/энергию",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),0.0217,0.6504,2.13e-08,2.13e-07,True,ANN_SOFT_SATED_V3_1
ann_history,adult,Игнорирование видимой добычи,ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2),0.0050,0.9800,1.26e-19,1.39e-18,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,Игнорирование видимой добычи,ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN homeostatic V3 (frog_lib_ann_soft_sated_v3),-0.0156,-0.8368,5.70e-13,1.71e-12,True,ANN_SOFT_SATED_V2
ann_history,adult,Игнорирование видимой добычи,ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),-0.1257,-1.0000,7.07e-18,7.07e-17,True,ANN_SOFT_SATED_V2
ann_history,adult,Игнорирование видимой добычи,ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),-0.0099,-0.7040,1.34e-09,2.67e-09,True,ANN_SOFT_SATED_V2
ann_history,adult,Игнорирование видимой добычи,ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),-0.2388,-1.0000,7.07e-18,7.07e-17,True,ANN_SOFT_SATED_V2
ann_history,adult,Игнорирование видимой добычи,ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN homeostatic V3 (frog_lib_ann_soft_sated_v3),-0.0206,-1.0000,3.31e-20,4.97e-19,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,Игнорирование видимой добычи,ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),-0.1308,-1.0000,3.31e-20,4.97e-19,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,Игнорирование видимой добычи,ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),-0.0149,-1.0000,3.31e-20,4.97e-19,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,Игнорирование видимой добычи,ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),-0.2439,-1.0000,3.31e-20,4.97e-19,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,Игнорирование видимой добычи,ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),-0.1102,-1.0000,7.07e-18,7.07e-17,True,ANN_SOFT_SATED_V3
ann_history,adult,Игнорирование видимой добычи,ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),0.0057,0.3680,0.0015,0.0015,True,ANN_SOFT_SATED_V3_1
ann_history,adult,Игнорирование видимой добычи,ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),-0.2233,-1.0000,7.07e-18,7.07e-17,True,ANN_SOFT_SATED_V3
ann_history,adult,Игнорирование видимой добычи,ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),0.1159,1.0000,7.07e-18,7.07e-17,True,ANN_SOFT_SATED_V3_1
ann_history,adult,Игнорирование видимой добычи,ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),-0.1131,-0.9568,1.70e-16,6.80e-16,True,ANN_FROZEN_SOFT_SATED_V3
ann_history,adult,Игнорирование видимой добычи,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),-0.2290,-1.0000,7.07e-18,7.07e-17,True,ANN_SOFT_SATED_V3_1
ann_history,adult,Learning AUC,ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2),-7.2022,-0.8760,4.51e-14,2.26e-13,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,Learning AUC,ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN homeostatic V3 (frog_lib_ann_soft_sated_v3),3.3988,1.0000,7.07e-18,1.06e-16,True,ANN_SOFT_SATED_V2
ann_history,adult,Learning AUC,ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),3.4100,1.0000,7.07e-18,1.06e-16,True,ANN_SOFT_SATED_V2
ann_history,adult,Learning AUC,ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),1.1743,0.4640,6.47e-05,0.0002,True,ANN_SOFT_SATED_V2
ann_history,adult,Learning AUC,ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),1.8323,0.6936,2.32e-09,9.29e-09,True,ANN_SOFT_SATED_V2
ann_history,adult,Learning AUC,ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN homeostatic V3 (frog_lib_ann_soft_sated_v3),10.6010,1.0000,7.07e-18,1.06e-16,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,Learning AUC,ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),10.6121,1.0000,7.07e-18,1.06e-16,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,Learning AUC,ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),8.3765,0.9656,8.99e-17,5.40e-16,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,Learning AUC,ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),9.0345,0.9896,1.54e-17,1.38e-16,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,Learning AUC,ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),0.0111,0.2664,0.0219,0.0219,True,ANN_SOFT_SATED_V3
ann_history,adult,Learning AUC,ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),-2.2245,-0.9688,7.12e-17,4.99e-16,True,ANN_SOFT_SATED_V3_1
ann_history,adult,Learning AUC,ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),-1.5665,-1.0000,7.07e-18,1.06e-16,True,ANN_FROZEN_SOFT_SATED_V3_1
ann_history,adult,Learning AUC,ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),-2.2357,-0.9728,5.32e-17,4.25e-16,True,ANN_SOFT_SATED_V3_1
ann_history,adult,Learning AUC,ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),-1.5776,-1.0000,7.07e-18,1.06e-16,True,ANN_FROZEN_SOFT_SATED_V3_1
ann_history,adult,Learning AUC,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),0.6580,0.3784,0.0011,0.0022,True,ANN_SOFT_SATED_V3_1
ann_history,adult,Успешность поимки,ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2),0.0000,0.0000,1.0000,1.0000,False,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,Успешность поимки,ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN homeostatic V3 (frog_lib_ann_soft_sated_v3),0.0000,0.0000,1.0000,1.0000,False,ANN_SOFT_SATED_V3
ann_history,adult,Успешность поимки,ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),0.0032,0.0400,0.1594,1.0000,False,ANN_SOFT_SATED_V2
ann_history,adult,Успешность поимки,ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),0.0000,0.0000,1.0000,1.0000,False,ANN_SOFT_SATED_V3_1
ann_history,adult,Успешность поимки,ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),0.0009,0.0200,0.3271,1.0000,False,ANN_SOFT_SATED_V2
ann_history,adult,Успешность поимки,ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN homeostatic V3 (frog_lib_ann_soft_sated_v3),0.0000,0.0000,1.0000,1.0000,False,ANN_SOFT_SATED_V3
ann_history,adult,Успешность поимки,ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),0.0032,0.0400,0.1594,1.0000,False,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,Успешность поимки,ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),0.0000,0.0000,1.0000,1.0000,False,ANN_SOFT_SATED_V3_1
ann_history,adult,Успешность поимки,ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),0.0009,0.0200,0.3271,1.0000,False,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,Успешность поимки,ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),0.0032,0.0400,0.1594,1.0000,False,ANN_SOFT_SATED_V3
ann_history,adult,Успешность поимки,ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),0.0000,0.0000,1.0000,1.0000,False,ANN_SOFT_SATED_V3_1
ann_history,adult,Успешность поимки,ANN homeostatic V3 (frog_lib_ann_soft_sated_v3) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),0.0009,0.0200,0.3271,1.0000,False,ANN_SOFT_SATED_V3
ann_history,adult,Успешность поимки,ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),-0.0032,-0.0400,0.1594,1.0000,False,ANN_SOFT_SATED_V3_1
ann_history,adult,Успешность поимки,ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),-0.0022,-0.0208,0.5519,1.0000,False,ANN_FROZEN_SOFT_SATED_V3_1
ann_history,adult,Успешность поимки,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),0.0009,0.0200,0.3271,1.0000,False,ANN_SOFT_SATED_V3_1
ann_history,adult,"Вычислительная цена, с/поимку",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V2 (frog_lib_ann_frozen_soft_sated_v2),0.7796,0.9632,1.07e-16,1.39e-15,True,ANN_FROZEN_SOFT_SATED_V2
ann_history,adult,"Вычислительная цена, с/поимку",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN homeostatic V3 (frog_lib_ann_soft_sated_v3),-0.1768,-0.3672,0.0016,0.0031,True,ANN_SOFT_SATED_V2
ann_history,adult,"Вычислительная цена, с/поимку",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V3 (frog_lib_ann_frozen_soft_sated_v3),0.0160,-0.1760,0.1302,0.1302,False,ANN_FROZEN_SOFT_SATED_V3
ann_history,adult,"Вычислительная цена, с/поимку",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1),0.4119,0.6928,2.42e-09,1.70e-08,True,ANN_SOFT_SATED_V3_1
ann_history,adult,"Вычислительная цена, с/поимку",ANN homeostatic V2 (frog_lib_ann_soft_sated_v2) vs ANN frozen homeostatic V3.1 (frog_lib_ann_frozen_soft_sated_v3_1),0.2794,0.3864,0.0009,0.0026,True,ANN_FROZEN_SOFT_SATED_V3_1
