Группа,Режим,Метрика,Сравнение,Mean diff (L-R),Cliff's delta,p raw,p Holm,significant<0.05,Предпочтительная архитектура
final_main,developmental,"Темп ловли, мух/мин",SNN (frog_lib_snn) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-4.4244,-0.9932,1.15e-17,3.46e-17,True,BIO_DUAL_FAST_COMPARE
final_main,developmental,"Время до первой поимки, с",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs SNN (frog_lib_snn),5.1518,0.9664,8.25e-17,2.48e-16,True,SNN
final_main,developmental,"Время до первой поимки, с",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),4.8094,0.8100,2.96e-12,5.92e-12,True,BIO_DUAL_FAST_COMPARE
final_main,developmental,"Время до первой поимки, с",SNN (frog_lib_snn) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.3424,0.3788,0.0011,0.0011,True,SNN
final_main,developmental,"Энергоэффективность, мух/энергию",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs SNN (frog_lib_snn),0.0652,0.9744,4.66e-17,1.40e-16,True,ANN_SOFT_SATED_V3_1
final_main,developmental,"Энергоэффективность, мух/энергию",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.0040,0.1312,0.2597,0.2597,False,ANN_SOFT_SATED_V3_1
final_main,developmental,"Энергоэффективность, мух/энергию",SNN (frog_lib_snn) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.0612,-0.9656,8.85e-17,1.77e-16,True,BIO_DUAL_FAST_COMPARE
final_main,developmental,Игнорирование видимой добычи,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs SNN (frog_lib_snn),-0.0018,0.3584,0.0020,0.0020,True,ANN_SOFT_SATED_V3_1
final_main,developmental,Игнорирование видимой добычи,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.1683,-0.7216,5.14e-10,1.54e-09,True,ANN_SOFT_SATED_V3_1
final_main,developmental,Игнорирование видимой добычи,SNN (frog_lib_snn) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-0.1665,-0.7200,5.61e-10,1.54e-09,True,SNN
final_main,developmental,Learning AUC,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs SNN (frog_lib_snn),0.7825,0.5048,1.38e-05,1.38e-05,True,ANN_SOFT_SATED_V3_1
final_main,developmental,Learning AUC,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-6.3285,-0.9744,4.73e-17,9.46e-17,True,BIO_DUAL_FAST_COMPARE
final_main,developmental,Learning AUC,SNN (frog_lib_snn) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-7.1110,-0.9816,2.78e-17,8.35e-17,True,BIO_DUAL_FAST_COMPARE
final_main,developmental,Успешность поимки,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs SNN (frog_lib_snn),-0.0022,-0.0800,0.0433,0.0433,True,SNN
final_main,developmental,Успешность поимки,ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.0820,0.9964,1.66e-19,3.32e-19,True,ANN_SOFT_SATED_V3_1
final_main,developmental,Успешность поимки,SNN (frog_lib_snn) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.0843,1.0000,3.31e-20,9.92e-20,True,SNN
final_main,developmental,"Вычислительная цена, с/поимку",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs SNN (frog_lib_snn),-2.4671,-1.0000,7.07e-18,2.12e-17,True,ANN_SOFT_SATED_V3_1
final_main,developmental,"Вычислительная цена, с/поимку",ANN homeostatic V3.1 (frog_lib_ann_soft_sated_v3_1) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-1.7294,-1.0000,7.07e-18,2.12e-17,True,ANN_SOFT_SATED_V3_1
final_main,developmental,"Вычислительная цена, с/поимку",SNN (frog_lib_snn) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.7377,0.1272,0.2745,0.2745,False,BIO_DUAL_FAST_COMPARE
bio_family,adult,"Темп ловли, мух/мин",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual compare (Frog_predator_neuro_dual_compare),-3.1428,-0.8092,3.15e-12,1.58e-11,True,BIO_DUAL_COMPARE
bio_family,adult,"Темп ловли, мух/мин",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),0.2436,0.1328,0.2537,0.5074,False,BIO_COMPARE
bio_family,adult,"Темп ловли, мух/мин",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-2.7744,-0.6812,4.42e-09,1.33e-08,True,BIO_DUAL_FAST_COMPARE
bio_family,adult,"Темп ловли, мух/мин",BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),3.3864,0.8504,2.37e-13,1.42e-12,True,BIO_DUAL_COMPARE
bio_family,adult,"Темп ловли, мух/мин",BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.3684,0.0800,0.4927,0.5074,False,BIO_DUAL_COMPARE
bio_family,adult,"Темп ловли, мух/мин",BioFrog fast compare (Frog_predator_neuro_fast_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),-3.0180,-0.7212,5.21e-10,2.09e-09,True,BIO_DUAL_FAST_COMPARE
bio_family,adult,"Время до первой поимки, с",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual compare (Frog_predator_neuro_dual_compare),0.5210,-0.3868,0.0008,0.0034,True,BIO_DUAL_COMPARE
bio_family,adult,"Время до первой поимки, с",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),-0.3152,0.0720,0.5321,1.0000,False,BIO_COMPARE
bio_family,adult,"Время до первой поимки, с",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.6848,-0.3712,0.0014,0.0041,True,BIO_DUAL_FAST_COMPARE
bio_family,adult,"Время до первой поимки, с",BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),-0.8362,0.4404,0.0001,0.0008,True,BIO_DUAL_COMPARE
bio_family,adult,"Время до первой поимки, с",BioFrog dual compare (Frog_predator_neuro_dual_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),0.1638,-0.0056,0.9641,1.0000,False,BIO_DUAL_FAST_COMPARE
bio_family,adult,"Время до первой поимки, с",BioFrog fast compare (Frog_predator_neuro_fast_compare) vs BioFrog dual fast compare (Frog_predator_neuro_dual_fast_compare),1.0000,-0.4268,0.0002,0.0011,True,BIO_DUAL_FAST_COMPARE
bio_family,adult,"Энергоэффективность, мух/энергию",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog dual compare (Frog_predator_neuro_dual_compare),-0.0100,-0.2848,0.0143,0.0616,False,BIO_DUAL_COMPARE
bio_family,adult,"Энергоэффективность, мух/энергию",BioFrog compare (Frog_predator_neuro_compare) vs BioFrog fast compare (Frog_predator_neuro_fast_compare),0.0044,0.1132,0.3310,0.6620,False,BIO_COMPARE
